generation,time,best cost,population,mutation,tournament,,,Min,1801,,Baseline 
1194,23.38387012,1830,5,1,5,,,,,,
1470,28.07071781,1796,5,1,5,,,,,,
1511,27.13687968,1802,5,1,5,,,,,,
675,14.0267942,1822.5,5,1,5,,,,,,
1559,29.46201611,1809.5,5,1,5,,,,,,
1435,27.53183389,1801,5,1,5,,,,,,
54,1.069161415,1833,5,1,5,,,,,,
855,17.73018742,1814.5,5,1,5,,,,,,
1564,29.87573528,1821.5,5,1,5,,,,,,
1303,24.35798645,1804,5,1,5,,,,,,
1275,25.38404465,1808.5,5,1,5,,,,,,
1264,27.44695687,1809,5,1,5,,,,,,
1729,28.69472933,1811,5,1,5,,,,,,
1239,22.57418656,1801,5,1,5,,,,,,
1130,21.17267561,1807,5,1,5,,,,,,
1411,27.51155353,1806.5,5,1,5,,,,,,
1433,27.62450504,1808,5,1,5,,,,,,
1641,28.80353332,1800.5,5,1,5,,,,,,
1541,28.33984017,1812,5,1,5,,,,,,
1446,29.75200438,1809.5,5,1,5,,,,,,
1475,28.46294856,1797.5,5,1,5,,,,,,
593,11.84912086,1820,5,1,5,,,,,,
1549,28.94137621,1816.5,5,1,5,,,,,,
1184,23.13396621,1799,5,1,5,,,,,,
491,9.687946558,1822,5,1,5,,,,,,
1449,26.69028568,1804.5,5,1,5,,,,,,
1407,28.47063613,1807.5,5,1,5,,,,,,
1098,22.56257105,1836,5,1,5,,,,,,
494,10.75062203,1840.5,5,1,5,,,,,,
Baseline + all 3 novel operators without small optimizations in code and without parent selection,,,,,,,,,,,
generation,time,best cost,population,mutation,tournament,,,Min ,1778.5,,
785,28.33593631,1782,5,1,5,,,Average,1785.125,,
568,24.73411393,1805,5,1,5,,,,,,
901,29.17232966,1783.5,5,1,5,,,,,,
640,21.09915495,1780,5,1,5,,,,,,
767,25.54606056,1784.5,5,1,5,,,,,,
664,26.91933632,1796.5,5,1,5,,,,,,
657,23.94745708,1781,5,1,5,,,,,,
724,24.88344336,1783.5,5,1,5,,,,,,
632,23.18726802,1783.5,5,1,5,,,,,,
300,11.84173441,1779,5,1,5,,,,,,
612,21.39998507,1783,5,1,5,,,,,,
543,17.85856462,1782.5,5,1,5,,,,,,
544,22.17147112,1780,5,1,5,,,,,,
658,23.07348228,1781,5,1,5,,,,,,
417,18.03673267,1782.5,5,1,5,,,,,,
575,22.67625475,1779.5,5,1,5,,,,,,
522,26.90569258,1790,5,1,5,,,,,,
761,25.43757319,1779.5,5,1,5,,,,,,
0,0,1802,5,1,5,,,,,,
554,21.56423306,1787,5,1,5,,,,,,
804,26.68330812,1784,5,1,5,,,,,,
423,23.25102496,1794,5,1,5,,,,,,
692,22.78778124,1784.5,5,1,5,,,,,,
882,26.9273901,1782.5,5,1,5,,,,,,
251,9.407479286,1780.5,5,1,5,,,,,,
179,11.12983727,1798,5,1,5,,,,,,
482,16.92324519,1781.5,5,1,5,,,,,,
614,24.04364157,1784,5,1,5,,,,,,
731,29.93363094,1786,5,1,5,,,,,,
804,29.72739673,1786.5,5,1,5,,,,,,
783,29.70392394,1783.5,5,1,5,,,,,,
719,25.99263453,1779.5,5,1,5,,,,,,
812,24.94358516,1780,5,1,5,,,,,,
434,16.60805106,1780,5,1,5,,,,,,
718,27.66353607,1782,5,1,5,,,,,,
861,26.96446109,1778.5,5,1,5,,,,,,
641,23.46953297,1783.5,5,1,5,,,,,,
656,25.38291621,1790.5,5,1,5,,,,,,
415,23.94249868,1791,5,1,5,,,,,,
270,16.64317966,1789.5,5,1,5,,,,,,
Baseline + novel initialisation + novel survivor selection,,,,,,,,,,,
generation,time,best cost,population,mutation,tournament,,,,,,
357,13.81089878,1790.5,5,1,5,,,,,,
156,6.033733368,1797.5,5,1,5,,,,,,
299,10.68999314,1787,5,1,5,,,,,,
93,3.695577621,1797.5,5,1,5,,,,,,
125,4.94964385,1800,5,1,5,,,,,,
113,4.619852304,1797.5,5,1,5,,,,,,
74,2.939465284,1800,5,1,5,,,,,,
185,7.499356985,1797.5,5,1,5,,,,,,
32,1.871315718,1801,5,1,5,,,,,,
