generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,1785.7375,,
382,23.03288317,1779.5,1780.5,10,1,1,2,1,,,,,
458,26.79718208,1782.5,1784,10,1,1,2,1,,,,,
421,20.96887589,1778.5,1779,10,1,1,2,1,,,,,
379,22.8344059,1784.5,1785.5,10,1,1,2,1,,,,,
451,27.32509398,1780.5,1781.85,10,1,1,2,1,,,,,
347,26.31327391,1783,1784.4,10,1,1,2,1,,,,,
387,26.20541453,1782.5,1783.5,10,1,1,2,1,,,,,
312,21.14400506,1784.5,1785,10,1,1,2,1,,,,,
446,27.45582724,1780.5,1781.6,10,1,1,2,1,,,,,
301,19.19928598,1781,1781.5,10,1,1,2,1,,,,,
540,25.61326838,1781.5,1782,10,1,1,2,1,,,,,
457,25.83251786,1779.5,1780.5,10,1,1,2,1,,,,,
328,21.01911569,1782.5,1784,10,1,1,2,1,,,,,
436,27.9669528,1783,1784,10,1,1,2,1,,,,,
311,19.36699677,1782.5,1783,10,1,1,2,1,,,,,
398,23.03390956,1781.5,1782.5,10,1,1,2,1,,,,,
275,17.42466187,1785.5,1786,10,1,1,2,1,,,,,
446,28.01915717,1781.5,1782.5,10,1,1,2,1,,,,,
203,11.36479998,1781.5,1783.1,10,1,1,2,1,,,,,
349,21.18921089,1783,1784,10,1,1,2,1,,,,,
321,20.8234992,1783,1784,10,1,1,2,1,,,,,
288,17.69559216,1779.5,1780.5,10,1,1,2,1,,,,,
418,29.42701268,1787.5,1788.5,10,1,1,2,1,,,,,
336,21.25437617,1780.5,1781,10,1,1,2,1,,,,,
100% Couchy,,,,,,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,1778.5,1784,
352,22.16499138,1780,1780.5,10,1,1,2,1,,,,,
388,26.27270675,1786,1787,10,1,1,2,1,,,,,
330,20.1172533,1782.5,1783,10,1,1,2,1,,,,,
525,27.50389743,1778.5,1779,10,1,1,2,1,,,,,
488,28.93439865,1787,1787.5,10,1,1,2,1,,,,,
367,22.88330984,1786,1787,10,1,1,2,1,,,,,
385,23.21729875,1780.5,1782.05,10,1,1,2,1,,,,,
404,27.30851531,1780,1781.5,10,1,1,2,1,,,,,
160,11.65470386,1787.5,1788,10,1,1,2,1,,,,,
518,28.31423926,1782.5,1783,10,1,1,2,1,,,,,
424,29.3971169,1781,1781.5,10,1,1,2,1,,,,,
280,17.41158199,1783.5,1785,10,1,1,2,1,,,,,
413,25.83060765,1781.5,1782,10,1,1,2,1,,,,,
315,26.57145977,1797,1798.055556,8,1,1,2,1,,,,,
419,25.92211866,1783.5,1784.5,10,1,1,2,1,,,,,
307,19.92409086,1780.5,1781.5,10,1,1,2,1,,,,,
456,25.96804881,1785.5,1787.214286,8,1,1,2,1,,,,,
375,25.49071074,1786.5,1787,10,1,1,2,1,,,,,
388,29.2239511,1789.5,1791.5,10,1,1,2,1,,,,,
463,29.40629029,1784,1784.5,10,1,1,2,1,,,,,
403,24.46195459,1779,1779.5,10,1,1,2,1,,,,,
377,22.00315309,1785,1785.5,10,1,1,2,1,,,,,
352,24.52548838,1805,1805.5,10,1,1,2,1,,,,,
438,28.9731071,1782,1782.85,9,1,1,2,1,,,,,
475,25.29418063,1780,1780.5,10,1,1,2,1,,,,,
364,20.2070868,1782.5,1785.15,10,1,1,2,1,,,,,
404,23.95933986,1780.5,1781,9,1,1,2,1,,,,,
456,28.65800166,1781.5,1782.5,10,1,1,2,1,,,,,
389,27.54417825,1784,1784.5,10,1,1,2,1,,,,,
344,20.51389885,1778.5,1779,10,1,1,2,1,,,,,
349,23.92093992,1783,1784,10,1,1,2,1,,,,,
419,26.95377541,1784,1784.5,10,1,1,2,1,,,,,
424,25.24880075,1781.5,1782,10,1,1,2,1,,,,,
282,28.64465308,1790.5,1791.5,10,1,1,2,1,,,,,
437,27.63957715,1780,1781.5,10,1,1,2,1,,,,,
323,20.09662557,1782,1783,10,1,1,2,1,,,,,
423,27.88253093,1781,1781.5,10,1,1,2,1,,,,,
354,22.98799586,1782,1784,10,1,1,2,1,,,,,
298,18.06046557,1792.5,1794.5,10,1,1,2,1,,,,,
337,21.38654971,1782.5,1783,10,1,1,2,1,,,,,
50% Cauchy 50% basic init - 100% replacement - mutation scaling - no crossover ,,,,,,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,,,
232,11.80219078,1810.5,1854.125,4,1,1,2,1,,,,,
654,21.37123227,1801,1910.3,10,1,1,2,1,,,,,
967,27.26062131,1800.5,1913,10,1,1,2,1,,,,,
320,9.021298885,1806,1876.625,4,1,1,2,1,,,,,
853,26.19788408,1800,1906.9,10,1,1,2,1,,,,,
584,29.44615841,1809,1893.3,10,1,1,2,1,,,,,
319,13.89140058,1810.5,1851.75,4,1,1,2,1,,,,,
620,29.54909706,1819,1891.4,10,1,1,2,1,,,,,
942,28.80063224,1798,1820.375,4,1,1,2,1,,,,,
786,28.81363845,1798.5,1884.75,10,1,1,2,1,,,,,
360,13.71880841,1803.5,1855.625,4,1,1,2,1,,,,,
1011,29.24988627,1793.5,1835,4,1,1,2,1,,,,,
586,15.89502358,1800,1833.875,4,1,1,2,1,,,,,
812,29.85429192,1801,1881.05,10,1,1,2,1,,,,,
871,24.83732891,1801.5,1892.35,10,1,1,2,1,,,,,
545,14.06810904,1798.5,1859,4,1,1,2,1,,,,,
611,29.96481156,1806,1894.6,10,1,1,2,1,,,,,
742,26.23313379,1797.5,1836.625,4,1,1,2,1,,,,,
663,29.14646316,1802,1926.65,10,1,1,2,1,,,,,
135,6.074193716,1809,1895.25,4,1,1,2,1,,,,,
502,18.57781386,1808.5,1907.5,10,1,1,2,1,,,,,
515,22.08316851,1796.5,1889.35,10,1,1,2,1,,,,,
659,17.50703692,1797,1940.7,10,1,1,2,1,,,,,
501,15.73423076,1800.5,1930.8,10,1,1,2,1,,,,,
732,27.02752304,1802,1839.25,4,1,1,2,1,,,,,
787,18.79810977,1794,1874.25,10,1,1,2,1,,,,,
635,29.17138529,1804,1908.4,10,1,1,2,1,,,,,
656,20.89309573,1798,1915.4,10,1,1,2,1,,,,,
1025,28.75406027,1797,1877.75,10,1,1,2,1,,,,,
